Epoch,gpu_mem,box,obj,cls,total,targets,img_size,precision,recall,mAP@.5,mAP@.5:.95,val box,val obj,val cls
41,1.65G,0.0377,0.02905,0.007444,0.07419,69,416,0.7702,0.7533,0.8006,0.363,0.04177,0.01615,0.002046
42,1.65G,0.03719,0.02812,0.008278,0.07359,94,416,0.6325,0.7712,0.7882,0.3378,0.04131,0.01721,0.004889
43,1.65G,0.03796,0.02901,0.00737,0.07434,82,416,0.781,0.8458,0.8429,0.359,0.041,0.01524,0.002104
44,1.65G,0.03707,0.02809,0.007127,0.07229,101,416,0.8769,0.7633,0.8435,0.3894,0.04155,0.01525,0.0016
45,1.65G,0.03698,0.02864,0.006878,0.0725,91,416,0.8713,0.7024,0.8328,0.37,0.04204,0.01609,0.002257
46,1.65G,0.0372,0.0277,0.007037,0.07194,76,416,0.8202,0.7225,0.8066,0.3942,0.04391,0.01515,0.004545
47,1.65G,0.03709,0.02782,0.006374,0.07129,80,416,0.4469,0.5538,0.5204,0.2005,0.04731,0.02591,0.007035
48,1.65G,0.0372,0.02695,0.007002,0.07115,85,416,0.768,0.6962,0.7845,0.3529,0.04158,0.0157,0.005259
49,1.65G,0.03669,0.02846,0.006728,0.07187,84,416,0.8456,0.7786,0.8191,0.3846,0.04025,0.0154,0.003047
50,1.65G,0.03604,0.02692,0.006582,0.06955,82,416,0.8429,0.8461,0.8632,0.3704,0.04177,0.01561,0.00147
51,1.65G,0.03596,0.02867,0.006274,0.0709,87,416,0.8298,0.7481,0.8261,0.3517,0.0441,0.01607,0.001596
52,1.65G,0.03609,0.02777,0.006175,0.07004,94,416,0.8675,0.747,0.8028,0.3513,0.04384,0.0152,0.0009399
53,1.65G,0.03632,0.02723,0.006218,0.06976,89,416,0.8648,0.7556,0.8361,0.4088,0.0416,0.01488,0.001334
54,1.65G,0.036,0.02792,0.005803,0.06972,71,416,0.8114,0.8288,0.8142,0.4139,0.04094,0.01496,0.001192
55,1.65G,0.03539,0.0267,0.005704,0.0678,87,416,0.8258,0.8425,0.8545,0.4353,0.03972,0.01484,0.001003
56,1.65G,0.03583,0.02763,0.00597,0.06943,95,416,0.8177,0.8038,0.8336,0.39,0.04046,0.01585,0.003756
57,1.65G,0.03647,0.02806,0.005577,0.07011,80,416,0.8745,0.8135,0.8507,0.4043,0.04151,0.01498,0.0009954
58,1.65G,0.03509,0.02769,0.00561,0.06839,82,416,0.9321,0.7557,0.8533,0.3955,0.04307,0.01429,0.003116
59,1.65G,0.03489,0.02691,0.005528,0.06733,95,416,0.8265,0.7808,0.7983,0.3807,0.04369,0.01634,0.003788
60,1.65G,0.03561,0.02688,0.005915,0.06841,81,416,0.9195,0.7962,0.8829,0.4061,0.04144,0.01472,0.001324
61,1.65G,0.035,0.02725,0.005628,0.06787,96,416,0.8437,0.7787,0.822,0.3948,0.04119,0.01596,0.00141
62,1.65G,0.03489,0.02734,0.00522,0.06745,84,416,0.8884,0.7461,0.835,0.3894,0.04229,0.01566,0.003622
63,1.65G,0.03529,0.02644,0.005494,0.06723,70,416,0.9369,0.8135,0.8538,0.3818,0.04232,0.01616,0.0008227
64,1.65G,0.03492,0.02689,0.004654,0.06647,82,416,0.8884,0.8324,0.8756,0.4162,0.03974,0.01486,0.0008887
65,1.65G,0.03454,0.02676,0.004129,0.06543,107,416,0.7544,0.8702,0.8471,0.4722,0.0399,0.01424,0.001571
66,1.65G,0.03476,0.02748,0.004772,0.06701,113,416,0.8775,0.7707,0.8586,0.4065,0.04409,0.01433,0.001819
67,1.65G,0.03556,0.02653,0.005562,0.06765,88,416,0.749,0.8383,0.7953,0.3882,0.04277,0.01492,0.002619
68,1.65G,0.0346,0.02693,0.005257,0.06679,110,416,0.8977,0.7978,0.8459,0.4315,0.03942,0.01494,0.001607
69,1.65G,0.03414,0.02643,0.004631,0.0652,84,416,0.9056,0.7883,0.8914,0.4117,0.04322,0.01469,0.0009966
70,1.65G,0.03422,0.02636,0.004318,0.0649,81,416,0.8415,0.8538,0.8611,0.385,0.04202,0.01527,0.0009851
71,1.65G,0.03413,0.02615,0.004423,0.0647,96,416,0.925,0.8128,0.9,0.4728,0.03908,0.01406,0.0009439
72,1.65G,0.03371,0.02633,0.004356,0.0644,99,416,0.825,0.8359,0.8612,0.3846,0.04096,0.01447,0.0009947
73,1.65G,0.03392,0.02586,0.004429,0.06421,80,416,0.7521,0.8712,0.8591,0.3598,0.04314,0.01512,0.002539
74,1.65G,0.03392,0.02632,0.004837,0.06508,91,416,0.801,0.8038,0.8351,0.4146,0.03993,0.01438,0.002116
